id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1508357,2020,383457748,39657831,3794919649,96402627,3467590721,85061948,145864354
1508407,2020,141281548,25102468,11617908,137314906,32882978,467299507,228346607
1600055,2020,81345002,1978973,79366029,4162914,2754749,11580328,60868039
1600105,2020,157699913,4788071,152911842,25392809,779207,27664026,92062937
1600154,2020,469237978,46122234,423115744,7287276,169064198,6048315,186281121
1600204,2020,181556081,6541234,175014847,1574225,12504239,37883721,108884637
1600212,2020,87445382,1377556,86067826,19266143,1109526,7796869,57895288
1600238,2020,519208884,10387094,50882179,13873259,372741972,24393479,97813079
1600253,2020,80823269,107262,79750648,11212553,1575521,8483472,58479102
1600279,2020,1034560054,26065621,1008494433,13308882,299449886,184608657,511127009
1600303,2020,11735557328,951298104,10784259224,6603836,863912634,5065903012,4788405218
1600402,2020,363565272,1248653,351078742,28033041,50389037,48272171,224384493
1600501,2020,488208818,24810096,463398722,17805409,28602536,132901235,284089541
1600535,2020,38152803,13109277,368418753,32863541,39993169,66840488,228721556
1600550,2020,76761352,941394,75819957,17437224,1007881,6055206,51319646
1600600,2020,2341303752,145502996,2195800756,18909671,264930776,746505783,1165454526
1600709,2020,246100153,3982727,242117426,40928825,4293474,24234238,17266089
1600808,2020,224213237,653202,217681217,7643978,14730618,28312651,16699397
1700251,2020,76689378,1543362,75146016,42751699,2301671,9188857,2090379
1700301,2020,158461847,24368694,134093154,16718767,18404417,52264202,46705768
1700350,2020,155444971,13461018,141983953,39221605,5713639,58354236,38694472
1700400,2020,179300184,5229817,174070367,97368905,4784267,23587312,48329882
1700707,2020,407693405,55009777,352683628,97394161,41119708,153255132,60914628
1701002,2020,140741744,7310491,133431252,28959618,4664914,35035619,64771101
1701051,2020,41824978,1046106,40778872,7360573,1675399,5809118,25933781
1701101,2020,209160546,5626269,203534277,126168928,5211975,35092536,37060837
1701309,2020,78609589,1759386,76850203,25582706,1728385,834891,41190203
1701903,2020,259416618,5744,253672617,162373844,7440388,33326021,50532365
